"projection_date","model_name","year","scenario_name","quantile","country_iso3","age","gender","population","target","value"
"2024-03-01","ModelA",2023,"statusquo",0.01,"ABC","15-49","Total","General population","hiv_incidence",0.8313
"2024-03-01","ModelA",2023,"statusquo",0.025,"ABC","15-49","Total","General population","hiv_incidence",0.8972
"2024-03-01","ModelA",2023,"statusquo",0.05,"ABC","15-49","Total","General population","hiv_incidence",0.9539
"2024-03-01","ModelA",2023,"statusquo",0.1,"ABC","15-49","Total","General population","hiv_incidence",1.0193
"2024-03-01","ModelA",2023,"statusquo",0.15,"ABC","15-49","Total","General population","hiv_incidence",1.0634
"2024-03-01","ModelA",2023,"statusquo",0.2,"ABC","15-49","Total","General population","hiv_incidence",1.0985
"2024-03-01","ModelA",2023,"statusquo",0.25,"ABC","15-49","Total","General population","hiv_incidence",1.1286
"2024-03-01","ModelA",2023,"statusquo",0.3,"ABC","15-49","Total","General population","hiv_incidence",1.1556
"2024-03-01","ModelA",2023,"statusquo",0.35,"ABC","15-49","Total","General population","hiv_incidence",1.1806
"2024-03-01","ModelA",2023,"statusquo",0.4,"ABC","15-49","Total","General population","hiv_incidence",1.2044
"2024-03-01","ModelA",2023,"statusquo",0.45,"ABC","15-49","Total","General population","hiv_incidence",1.2274
"2024-03-01","ModelA",2023,"statusquo",0.5,"ABC","15-49","Total","General population","hiv_incidence",1.25
"2024-03-01","ModelA",2023,"statusquo",0.55,"ABC","15-49","Total","General population","hiv_incidence",1.2726
"2024-03-01","ModelA",2023,"statusquo",0.6,"ABC","15-49","Total","General population","hiv_incidence",1.2956
"2024-03-01","ModelA",2023,"statusquo",0.65,"ABC","15-49","Total","General population","hiv_incidence",1.3194
"2024-03-01","ModelA",2023,"statusquo",0.7,"ABC","15-49","Total","General population","hiv_incidence",1.3444
"2024-03-01","ModelA",2023,"statusquo",0.75,"ABC","15-49","Total","General population","hiv_incidence",1.3714
"2024-03-01","ModelA",2023,"statusquo",0.8,"ABC","15-49","Total","General population","hiv_incidence",1.4015
"2024-03-01","ModelA",2023,"statusquo",0.85,"ABC","15-49","Total","General population","hiv_incidence",1.4366
"2024-03-01","ModelA",2023,"statusquo",0.9,"ABC","15-49","Total","General population","hiv_incidence",1.4807
