"projection_date","model_name","year","scenario","quantile","country_iso3","target","value"
"2024-03-01","ModelB",2023,"statusquo",0.01,"ABC","hiv_incidence",0.3591
"2024-03-01","ModelB",2023,"statusquo",0.025,"ABC","hiv_incidence",0.4679
"2024-03-01","ModelB",2023,"statusquo",0.05,"ABC","hiv_incidence",0.5615
"2024-03-01","ModelB",2023,"statusquo",0.1,"ABC","hiv_incidence",0.6694
"2024-03-01","ModelB",2023,"statusquo",0.15,"ABC","hiv_incidence",0.7422
"2024-03-01","ModelB",2023,"statusquo",0.2,"ABC","hiv_incidence",0.8
"2024-03-01","ModelB",2023,"statusquo",0.25,"ABC","hiv_incidence",0.8497
"2024-03-01","ModelB",2023,"statusquo",0.3,"ABC","hiv_incidence",0.8943
"2024-03-01","ModelB",2023,"statusquo",0.35,"ABC","hiv_incidence",0.9356
"2024-03-01","ModelB",2023,"statusquo",0.4,"ABC","hiv_incidence",0.9748
"2024-03-01","ModelB",2023,"statusquo",0.45,"ABC","hiv_incidence",1.0127
"2024-03-01","ModelB",2023,"statusquo",0.5,"ABC","hiv_incidence",1.05
"2024-03-01","ModelB",2023,"statusquo",0.55,"ABC","hiv_incidence",1.0873
"2024-03-01","ModelB",2023,"statusquo",0.6,"ABC","hiv_incidence",1.1252
"2024-03-01","ModelB",2023,"statusquo",0.65,"ABC","hiv_incidence",1.1644
"2024-03-01","ModelB",2023,"statusquo",0.7,"ABC","hiv_incidence",1.2057
"2024-03-01","ModelB",2023,"statusquo",0.75,"ABC","hiv_incidence",1.2503
"2024-03-01","ModelB",2023,"statusquo",0.8,"ABC","hiv_incidence",1.3
"2024-03-01","ModelB",2023,"statusquo",0.85,"ABC","hiv_incidence",1.3578
"2024-03-01","ModelB",2023,"statusquo",0.9,"ABC","hiv_incidence",1.4306
"2024-03-01","ModelB",2023,"statusquo",0.95,"ABC","hiv_incidence",1.5385
"2024-03-01","ModelB",2023,"statusquo",0.975,"ABC","hiv_incidence",1.6321
"2024-03-01","ModelB",2023,"statusquo",0.99,"ABC","hiv_incidence",1.7409
"2024-03-01","ModelB",2030,"statusquo",0.01,"ABC","hiv_incidence",0.0082
"2024-03-01","ModelB",2030,"statusquo",0.025,"ABC","hiv_incidence",0.1061
"2024-03-01","ModelB",2030,"statusquo",0.05,"ABC","hiv_incidence",0.1903
"2024-03-01","ModelB",2030,"statusquo",0.1,"ABC","hiv_incidence",0.2874
"2024-03-01","ModelB",2030,"statusquo",0.15,"ABC","hiv_incidence",0.353
"2024-03-01","ModelB",2030,"statusquo",0.2,"ABC","hiv_incidence",0.405
"2024-03-01","ModelB",2030,"statusquo",0.25,"ABC","hiv_incidence",0.4497
"2024-03-01","ModelB",2030,"statusquo",0.3,"ABC","hiv_incidence",0.4898
"2024-03-01","ModelB",2030,"statusquo",0.35,"ABC","hiv_incidence",0.527
"2024-03-01","ModelB",2030,"statusquo",0.4,"ABC","hiv_incidence",0.5623
"2024-03-01","ModelB",2030,"statusquo",0.45,"ABC","hiv_incidence",0.5964
"2024-03-01","ModelB",2030,"statusquo",0.5,"ABC","hiv_incidence",0.63
"2024-03-01","ModelB",2030,"statusquo",0.55,"ABC","hiv_incidence",0.6636
"2024-03-01","ModelB",2030,"statusquo",0.6,"ABC","hiv_incidence",0.6977
"2024-03-01","ModelB",2030,"statusquo",0.65,"ABC","hiv_incidence",0.733
"2024-03-01","ModelB",2030,"statusquo",0.7,"ABC","hiv_incidence",0.7702
"2024-03-01","ModelB",2030,"statusquo",0.75,"ABC","hiv_incidence",0.8103
"2024-03-01","ModelB",2030,"statusquo",0.8,"ABC","hiv_incidence",0.855
"2024-03-01","ModelB",2030,"statusquo",0.85,"ABC","hiv_incidence",0.907
"2024-03-01","ModelB",2030,"statusquo",0.9,"ABC","hiv_incidence",0.9726
"2024-03-01","ModelB",2030,"statusquo",0.95,"ABC","hiv_incidence",1.0697
"2024-03-01","ModelB",2030,"statusquo",0.975,"ABC","hiv_incidence",1.1539
"2024-03-01","ModelB",2030,"statusquo",0.99,"ABC","hiv_incidence",1.2518
"2024-03-01","ModelB",2040,"statusquo",0.01,"ABC","hiv_incidence",0
"2024-03-01","ModelB",2040,"statusquo",0.025,"ABC","hiv_incidence",0
"2024-03-01","ModelB",2040,"statusquo",0.05,"ABC","hiv_incidence",0
"2024-03-01","ModelB",2040,"statusquo",0.1,"ABC","hiv_incidence",0
"2024-03-01","ModelB",2040,"statusquo",0.15,"ABC","hiv_incidence",0
"2024-03-01","ModelB",2040,"statusquo",0.2,"ABC","hiv_incidence",0.0075
"2024-03-01","ModelB",2040,"statusquo",0.25,"ABC","hiv_incidence",0.0477
"2024-03-01","ModelB",2040,"statusquo",0.3,"ABC","hiv_incidence",0.0838
"2024-03-01","ModelB",2040,"statusquo",0.35,"ABC","hiv_incidence",0.1173
"2024-03-01","ModelB",2040,"statusquo",0.4,"ABC","hiv_incidence",0.1491
"2024-03-01","ModelB",2040,"statusquo",0.45,"ABC","hiv_incidence",0.1798
"2024-03-01","ModelB",2040,"statusquo",0.5,"ABC","hiv_incidence",0.21
"2024-03-01","ModelB",2040,"statusquo",0.55,"ABC","hiv_incidence",0.2402
"2024-03-01","ModelB",2040,"statusquo",0.6,"ABC","hiv_incidence",0.2709
"2024-03-01","ModelB",2040,"statusquo",0.65,"ABC","hiv_incidence",0.3027
"2024-03-01","ModelB",2040,"statusquo",0.7,"ABC","hiv_incidence",0.3362
"2024-03-01","ModelB",2040,"statusquo",0.75,"ABC","hiv_incidence",0.3723
"2024-03-01","ModelB",2040,"statusquo",0.8,"ABC","hiv_incidence",0.4125
"2024-03-01","ModelB",2040,"statusquo",0.85,"ABC","hiv_incidence",0.4593
"2024-03-01","ModelB",2040,"statusquo",0.9,"ABC","hiv_incidence",0.5183
"2024-03-01","ModelB",2040,"statusquo",0.95,"ABC","hiv_incidence",0.6057
"2024-03-01","ModelB",2040,"statusquo",0.975,"ABC","hiv_incidence",0.6815
"2024-03-01","ModelB",2040,"statusquo",0.99,"ABC","hiv_incidence",0.7696
