"projection_date","model_name","year","scenario_name","trajectory_id","country_iso3","age","gender","population","target","value"
"2024-03-01","ModelA",2023,"statusquo",1,"ABC","15-49","Total","General population","hiv_incidence",1.3113730882094
"2024-03-01","ModelA",2024,"statusquo",1,"ABC","15-49","Total","General population","hiv_incidence",1.21909258694333
"2024-03-01","ModelA",2025,"statusquo",1,"ABC","15-49","Total","General population","hiv_incidence",1.12623985839657
"2024-03-01","ModelA",2026,"statusquo",1,"ABC","15-49","Total","General population","hiv_incidence",1.06210286298905
"2024-03-01","ModelA",2027,"statusquo",1,"ABC","15-49","Total","General population","hiv_incidence",1.07346234808655
"2024-03-01","ModelA",2028,"statusquo",1,"ABC","15-49","Total","General population","hiv_incidence",1.01764931246578
"2024-03-01","ModelA",2029,"statusquo",1,"ABC","15-49","Total","General population","hiv_incidence",0.921039320525052
"2024-03-01","ModelA",2030,"statusquo",1,"ABC","15-49","Total","General population","hiv_incidence",0.83291104485688
"2024-03-01","ModelA",2031,"statusquo",1,"ABC","15-49","Total","General population","hiv_incidence",0.731677649289073
"2024-03-01","ModelA",2032,"statusquo",1,"ABC","15-49","Total","General population","hiv_incidence",0.680186607495695
"2024-03-01","ModelA",2033,"statusquo",1,"ABC","15-49","Total","General population","hiv_incidence",0.606443657291044
"2024-03-01","ModelA",2034,"statusquo",1,"ABC","15-49","Total","General population","hiv_incidence",0.617077672883189
"2024-03-01","ModelA",2035,"statusquo",1,"ABC","15-49","Total","General population","hiv_incidence",0.566758107749759
"2024-03-01","ModelA",2036,"statusquo",1,"ABC","15-49","Total","General population","hiv_incidence",0.492404200712282
"2024-03-01","ModelA",2037,"statusquo",1,"ABC","15-49","Total","General population","hiv_incidence",0.356651258195463
"2024-03-01","ModelA",2038,"statusquo",1,"ABC","15-49","Total","General population","hiv_incidence",0.364924434720871
"2024-03-01","ModelA",2039,"statusquo",1,"ABC","15-49","Total","General population","hiv_incidence",0.294464181293553
"2024-03-01","ModelA",2040,"statusquo",1,"ABC","15-49","Total","General population","hiv_incidence",0.255677679394602
"2024-03-01","ModelA",2023,"statusquo",2,"ABC","15-49","Total","General population","hiv_incidence",1.14961829745804
"2024-03-01","ModelA",2024,"statusquo",2,"ABC","15-49","Total","General population","hiv_incidence",1.07137560468476
"2024-03-01","ModelA",2025,"statusquo",2,"ABC","15-49","Total","General population","hiv_incidence",1.1968957358937
"2024-03-01","ModelA",2026,"statusquo",2,"ABC","15-49","Total","General population","hiv_incidence",1.09047523197279
"2024-03-01","ModelA",2027,"statusquo",2,"ABC","15-49","Total","General population","hiv_incidence",1.06760686830884
"2024-03-01","ModelA",2028,"statusquo",2,"ABC","15-49","Total","General population","hiv_incidence",0.945703042440674
"2024-03-01","ModelA",2029,"statusquo",2,"ABC","15-49","Total","General population","hiv_incidence",0.914869943588351
"2024-03-01","ModelA",2030,"statusquo",2,"ABC","15-49","Total","General population","hiv_incidence",0.773538093720192
"2024-03-01","ModelA",2031,"statusquo",2,"ABC","15-49","Total","General population","hiv_incidence",0.774805452803529
"2024-03-01","ModelA",2032,"statusquo",2,"ABC","15-49","Total","General population","hiv_incidence",0.745257497318184
"2024-03-01","ModelA",2033,"statusquo",2,"ABC","15-49","Total","General population","hiv_incidence",0.593744482131068
"2024-03-01","ModelA",2034,"statusquo",2,"ABC","15-49","Total","General population","hiv_incidence",0.599642364532038
"2024-03-01","ModelA",2035,"statusquo",2,"ABC","15-49","Total","General population","hiv_incidence",0.504946790535422
"2024-03-01","ModelA",2036,"statusquo",2,"ABC","15-49","Total","General population","hiv_incidence",0.477399960220567
"2024-03-01","ModelA",2037,"statusquo",2,"ABC","15-49","Total","General population","hiv_incidence",0.415696216361111
"2024-03-01","ModelA",2038,"statusquo",2,"ABC","15-49","Total","General population","hiv_incidence",0.389783989689112
"2024-03-01","ModelA",2039,"statusquo",2,"ABC","15-49","Total","General population","hiv_incidence",0.301118708184856
"2024-03-01","ModelA",2040,"statusquo",2,"ABC","15-49","Total","General population","hiv_incidence",0.254869943521326
"2024-03-01","ModelA",2023,"statusquo",3,"ABC","15-49","Total","General population","hiv_incidence",1.27108324217898
"2024-03-01","ModelA",2024,"statusquo",3,"ABC","15-49","Total","General population","hiv_incidence",1.16203662826907
"2024-03-01","ModelA",2025,"statusquo",3,"ABC","15-49","Total","General population","hiv_incidence",1.10003722671081
"2024-03-01","ModelA",2026,"statusquo",3,"ABC","15-49","Total","General population","hiv_incidence",1.09652248285652
"2024-03-01","ModelA",2027,"statusquo",3,"ABC","15-49","Total","General population","hiv_incidence",0.970441274435865
"2024-03-01","ModelA",2028,"statusquo",3,"ABC","15-49","Total","General population","hiv_incidence",0.955658150096825
"2024-03-01","ModelA",2029,"statusquo",3,"ABC","15-49","Total","General population","hiv_incidence",0.919277855946907
"2024-03-01","ModelA",2030,"statusquo",3,"ABC","15-49","Total","General population","hiv_incidence",0.920919606414749
"2024-03-01","ModelA",2031,"statusquo",3,"ABC","15-49","Total","General population","hiv_incidence",0.732769343698905
"2024-03-01","ModelA",2032,"statusquo",3,"ABC","15-49","Total","General population","hiv_incidence",0.725287857040239
"2024-03-01","ModelA",2033,"statusquo",3,"ABC","15-49","Total","General population","hiv_incidence",0.672652708682625
"2024-03-01","ModelA",2034,"statusquo",3,"ABC","15-49","Total","General population","hiv_incidence",0.623084184092926
"2024-03-01","ModelA",2035,"statusquo",3,"ABC","15-49","Total","General population","hiv_incidence",0.561502014281419
"2024-03-01","ModelA",2036,"statusquo",3,"ABC","15-49","Total","General population","hiv_incidence",0.532378597631988
"2024-03-01","ModelA",2037,"statusquo",3,"ABC","15-49","Total","General population","hiv_incidence",0.4146458581785
"2024-03-01","ModelA",2038,"statusquo",3,"ABC","15-49","Total","General population","hiv_incidence",0.353571487885353
"2024-03-01","ModelA",2039,"statusquo",3,"ABC","15-49","Total","General population","hiv_incidence",0.298837807656237
"2024-03-01","ModelA",2040,"statusquo",3,"ABC","15-49","Total","General population","hiv_incidence",0.237155864328214
